dataset,method,vehicle_id,seg_index,rmse_full_pct,mae_full_pct,maxerr_full_pct,rmse_postconv_pct,mae_postconv_pct,maxerr_postconv_pct,t_conv_strict_s,t_conv_hold_s,t_conv_legacy_s,duration_s,n_samples
BMW_i3,ocv_lookup,bmw_i3,36,39.97336048571157,30.414773631130853,72.8,,,,,,57.0,3225.4,32255.0
BMW_i3,ekf,bmw_i3,37,42.007366878647964,42.00693665975905,43.00000000000001,,,,,,,353.1,3532.0
BMW_i3,coulomb,bmw_i3,37,21.497956933384618,21.48143578459901,23.866926851851854,,,,,,,353.1,3532.0
BMW_i3,ocv_lookup,bmw_i3,37,54.530614543457865,53.374007047095304,56.99999999999999,,,,,,,353.1,3532.0
BMW_i3,ekf,bmw_i3,38,20.54856326747326,19.2521024106396,34.20000000000001,,,,,,,3821.9,38220.0
BMW_i3,coulomb,bmw_i3,38,44.26598898486759,40.84729799111382,100.0,,,,,,,3821.9,38220.0
BMW_i3,ocv_lookup,bmw_i3,38,51.15370280460243,46.60882200318411,83.1,0.0,0.0,0.0,3821.9,3821.9,593.5,3821.9,38220.0
BMW_i3,ekf,bmw_i3,39,12.700563121523063,12.700303554054008,12.922623611111472,,,,,,,1822.2,18223.0
BMW_i3,coulomb,bmw_i3,39,23.673915549460478,23.13311412681064,32.49999999999999,,,,,,,1822.2,18223.0
BMW_i3,ocv_lookup,bmw_i3,39,37.427086784571216,24.125533769662493,85.0,4.634054332706307,4.6322018762093515,4.8037344026227835,1815.9,1815.9,363.9,1822.2,18223.0
BMW_i3,ekf,bmw_i3,40,18.957643644292276,17.745786089000113,30.875001951453086,3.028349395051409,3.015387788074105,3.6799115305348074,1278.7,1278.7,1278.7,1528.5,15286.0
BMW_i3,coulomb,bmw_i3,40,34.15070204841442,33.130560427903035,47.3,,,,,,,1528.5,15286.0
BMW_i3,ocv_lookup,bmw_i3,40,58.320416183554094,56.16982517968236,67.4,,,,,,0.0,1528.5,15286.0
