seg_index,vehicle_id,rmse_full_pct,outcome,t_conv_strict_s,innov_mean_mV,innov_std_mV,innov_lag1_autocorr,innov_soc_struct_rms_mV,frac_flat_ocv,dt_median_s,I_quant_step_A,duration_s,soh_end,r_int_end_mOhm
93,VehId_0010,20.46748233093932,diverged,,-1.6920248046002413,47.96204786094732,-0.013791486882663632,,0.0,0.5,0.25,908.5,1.0,14.936855548750026
94,VehId_0010,15.073287271279131,recovered,,1.2207479693055665,58.598563293449715,-0.00150446559966843,,0.5565749235474006,0.5,0.25,775.2,0.8609238751818634,14.229314722854427
95,VehId_0010,0.8920635630212362,converged,0.0,2.899724791138274,84.67080334366814,-0.012306495849280851,,1.0,0.4,0.25,190.6,1.0,14.914681642317921
96,VehId_0010,15.008648870229743,recovered,,0.7207369365485972,47.265671325119776,0.01669503738284103,,0.1783625730994152,0.4000000000000057,0.25,405.8,0.6463363049711973,14.091923833363166
97,VehId_0010,3.8968296465208585,converged,672.8,2.0849678461247443,57.12968443365266,0.00446908723310412,,1.0,0.40000000000000036,0.25,683.6,0.6631096937616893,13.352721158198753
98,VehId_0010,67.4812353101329,diverged,,2.8444634590552305,17.081594084486667,0.14936488666386794,,0.48,0.4000000000000057,0.25,483.1,0.5764341784672772,3.1006592876712684
99,VehId_0010,1.4441460422812975,converged,677.7,1.799661495517447,57.498841701002426,-0.012266383535468823,,1.0,0.39999999999997726,0.25,780.5,1.0,14.733022707648207
100,VehId_0010,10.24607663849717,diverged,,1.2947310228742588,65.39906589427582,-0.0036176970113335513,,0.0,0.4000000000000199,0.25,777.9,1.0,14.855311769727576
101,VehId_0010,21.76795308262558,diverged,,2.447266941708388,47.00360660763262,-0.0053310969921200315,0.9406475408856725,0.4032258064516129,0.7999999999997272,0.25,4723.2,0.5701754387442906,13.996952184625874
102,VehId_0010,14.261303435083224,diverged,,2.466746588414461,57.9261551355912,-0.01045349204818621,,0.8782894736842105,0.5,0.25,194.7,1.0,14.9369068505876
103,VehId_0010,17.815366523748068,diverged,,1.2601109542802407,74.55062159237399,0.013538504666728634,,0.0,0.6999999999999886,0.25,661.7,0.5709258049482685,14.5828279165256
104,VehId_0010,34.98835234944778,diverged,,-0.8985982710816548,49.68514944607093,0.01872866775486377,,0.0,0.3999999999999915,0.25,698.3,0.5773207881651309,12.622659901920473
