# generated 20260719T195455Z by data/make_before_after.py; before = results/pre_sign_fix_snapshot (pre-fix), after = regenerated post-fix; TOL=0.005
table,dataset,method,key,metric,before,after,delta,was_inverted_before,changed
main_table.csv,VED,ekf,VED|ekf,mae_full_median,22.04081876683847,22.04081876683847,0.0,False,False
main_table.csv,VED,ekf,VED|ekf,conv_rate_strict,0.16176470588235295,0.16176470588235295,0.0,False,False
main_table.csv,VED,ekf,VED|ekf,conv_rate_legacy,0.375,0.375,0.0,False,False
main_table.csv,VED,ocv_lookup,VED|ocv_lookup,rmse_full_median,11.397284306769055,11.397284306769055,0.0,False,False
main_table.csv,VED,ocv_lookup,VED|ocv_lookup,rmse_full_mean,14.825227019007281,14.825227019007281,0.0,False,False
main_table.csv,VED,ocv_lookup,VED|ocv_lookup,mae_full_median,9.250358406546312,9.250358406546312,0.0,False,False
main_table.csv,VED,ocv_lookup,VED|ocv_lookup,conv_rate_strict,0.35294117647058826,0.35294117647058826,0.0,False,False
main_table.csv,VED,ocv_lookup,VED|ocv_lookup,conv_rate_legacy,0.7843137254901961,0.7843137254901961,0.0,False,False
baseline_comparison.csv,BMW_i3,coulomb,BMW_i3|coulomb,rmse_median,28.39471385105711,19.65775459475452,-8.73695925630259,True,True
baseline_comparison.csv,BMW_i3,coulomb,BMW_i3|coulomb,rmse_mean,29.42043409017729,16.877814773468202,-12.54261931670909,True,True
baseline_comparison.csv,BMW_i3,coulomb,BMW_i3|coulomb,conv_rate_strict,0.0,0.0,0.0,True,False
baseline_comparison.csv,BMW_i3,coulomb,BMW_i3|coulomb,rate_recovered,0.0,0.015873015873015872,0.015873015873015872,True,True
baseline_comparison.csv,BMW_i3,coulomb,BMW_i3|coulomb,rate_diverged,1.0,0.9841269841269841,-0.015873015873015928,True,True
baseline_comparison.csv,BMW_i3,my_ekf,BMW_i3|my_ekf,rmse_median,17.605584782749176,17.605584782749176,0.0,False,False
baseline_comparison.csv,BMW_i3,my_ekf,BMW_i3|my_ekf,rmse_mean,17.688479691607025,17.688479691607025,0.0,False,False
baseline_comparison.csv,BMW_i3,my_ekf,BMW_i3|my_ekf,conv_rate_strict,0.07936507936507936,0.07936507936507936,0.0,False,False
baseline_comparison.csv,BMW_i3,my_ekf,BMW_i3|my_ekf,rate_recovered,0.06349206349206349,0.06349206349206349,0.0,False,False
baseline_comparison.csv,BMW_i3,my_ekf,BMW_i3|my_ekf,rate_diverged,0.8571428571428571,0.8571428571428571,0.0,False,False
baseline_comparison.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,rmse_median,38.42788954727097,38.42788954727097,0.0,False,False
